shannon_canon_pos,shannon_archive_pos
15730.39,14684.36
22449.43,6555.58
58417.12,26031.05
17343.9,19921.12
40291.2,35075.39
43680.6,4997.31
19673.18,17866.44
6762.34,40823.06
17930.64,12163.04
24276.49,14560.27
13999.2,21725.6
12834.14,8297.79
7374.0,29403.41
17764.89,35363.55
,20431.44
,19330.45
,15169.19
,26228.61
,18080.21
,17392.01
,26188.86
,42929.09
,41575.34
,31681.92
,16813.85
,22538.62
,13148.64
,16800.85
,30840.49
,76180.15
,36153.65
,30018.64
,14264.93
,42131.34
,49719.97
,33075.24
,19803.2
,31044.46
,38929.18
,45703.93
,28966.51
,21568.61
,42761.94
,18333.65
,18219.62
,28328.41
,21866.3
,11941.31
,50945.15
,27776.62
,27990.01
,23688.43
,15023.68
,48349.38
,11517.0
,132099.22
,33154.3
,28053.72
,17579.72
,39694.96
,20298.99
,24674.15
,23263.18
,32405.99
,20929.32
,10239.24
,16150.85
,21860.25
,31590.78
,29137.07
,19864.81
,28353.3
,15551.86
,17201.15
,14548.28
,16994.56
,17543.86
,20311.73
,22859.59
,28238.41
,23905.75
,13065.04
,12041.58
,17028.25
,68701.81
,23932.81
,16447.36
,12595.61
,13033.96
,24302.49
,32697.98
,43571.84
,13932.1
,24502.51
,16237.58
,18726.99
,24488.37
,11480.69
,33411.15
,28727.56
,23793.21
,16761.82
,18247.19
,37240.86
,25128.02
,23002.3
,11845.98
,22890.53
,25696.99
,18643.44
,16658.47
,3272.54
,27882.34
,3499.18
,23688.23
,23686.42
,12069.38
,31358.47
,20204.32
,16809.3
,24059.45
,12785.73
,29858.88
,29925.36
,18804.57
,46849.36
,46858.66
,23123.75
,22721.04
,26460.5
,11377.27
,22588.84
,13890.49
,13317.6
,19754.69
,15326.66
,15815.96
,40152.81
,38343.61
,38351.48
,57139.14
,57223.03
,52213.13
,27461.14
,1452.63
,23702.51
,26797.1
,12123.31
,28059.78
,26560.8
,19513.48
,14261.51
,17029.79
,16935.85
,29888.25
,27451.75
,12612.1
,14190.32
,26719.82
,20236.92
,15544.51
,21075.93
,20604.73
,11866.87
,22073.07
,24564.31
,17909.19
,1546.69
,19937.99
,4896.55
,20221.57
,18387.48
,5117.3
,32947.98
,15099.51
,18510.23
,19268.75
,45914.92
,28533.11
,54127.99
,21828.1
,18132.02
,21278.62
,19871.89
,14916.79
,18671.03
,22481.48
,17042.01
,24495.11
,24830.95
,28357.27
,10418.11
,17240.92
,14098.02
,18492.14
,28477.01
,17888.53
,22176.33
,17298.62
,10416.88
,26910.66
,15779.11
,17565.75
,13295.84
,17354.0
,16560.97
,3554.37
,26956.46
,22564.57
,23109.46
,20642.71
,20356.36
,18145.93
,25388.26
,19852.47
,22050.27
,14804.46
,18038.42
,13484.96
,29456.57
,6852.35
,13567.38
,63931.77
,67482.8
,32187.68
,26559.62
,11667.64
,23143.15
,12371.52
,14198.81
,28459.25
,27305.69
,24417.35
,40379.53
,13427.08
,17241.57
,13405.13
,34461.32
,14706.87
,20593.53
,13789.07
,22758.8
,28801.11
,22321.63
,7717.2
,16227.27
,18179.56
,11514.35
,23425.65
,16878.42
,33568.46
,13574.14
,5705.52
,17405.28
,16939.03
,11635.8
,11949.51
,12632.68
,12377.69
,176437.84
,13507.07
,39496.59
,22031.12
,15555.71
,25511.23
,8435.16
,16222.66
,15528.19
,15555.08
,16192.66
,23233.33
,17922.48
,23311.12
,18124.09
,21557.3
,22807.37
,16579.92
,10739.69
,13725.97
,14945.61
,14138.52
,14078.59
,15242.98
,14363.51
,14909.08
,13361.04
,14167.17
,20804.53
,19868.17
,16847.7
,7533.03
,20566.29
,26398.26
,22031.17
,37545.14
,14662.49
,20154.42
,17766.2
,18382.31
,24682.93
,22133.55
,7545.39
,14144.44
,17382.16
,9878.29
,13782.52
,13219.95
,14927.2
,14982.3
,14658.53
,14061.17
,18276.46
,24961.03
,23567.87
,16525.83
,25105.63
,17868.72
,13523.02
,13996.32
,13827.68
,31660.87
,13662.75
,16967.0
,14536.36
,14132.21
,12338.42
,12684.95
,12201.26
,16047.52
,13602.32
,10448.16
,15456.07
,14706.01
,13790.57
,13536.01
,14804.34
,36103.06
,28359.52
,12380.73
,13185.96
,17913.94
,14189.05
,19017.21
,25732.56
,13616.28
,15354.59
,15549.33
,13645.0
,13772.59
,39678.22
,16914.71
,29206.37
,15027.17
,13160.0
,12725.76
,19259.05
,13194.24
,36237.67
,16251.68
,15706.0
,15364.48
,17220.12
,15103.8
,37015.49
,29349.33
,15209.12
,14073.87
,14822.87
,16953.43
,33482.12
,18089.77
,16044.96
,20076.01
,20594.78
,20800.17
,19389.85
,21366.48
,19354.84
,17328.86
,18408.51
,19650.49
,16690.5
,21652.74
,19833.85
,19313.52
,19828.76
,32501.22
,43948.92
,19859.97
,21703.68
,19997.07
,20274.75
,59119.74
,16159.82
,14257.82
,16102.98
,20964.48
,20951.69
,23944.72
,20347.62
,19137.55
,60908.79
,25127.09
,11964.74
,24581.33
,92565.01
,22526.18
